Asia;"Islamic Emirate"
Europe;Republic
Africa;Republic
Oceania;"US Territory"
Europe;"Parliamentary Coprincipality"
Africa;Republic
"North America";"Dependent Territory of the UK"
Antarctica;
"North America";"Constitutional Monarchy"
"South America";"Federal Republic"
Asia;Republic
"North America";"Nonmetropolitan Territory of The Netherlands"
Oceania;"Federation Constitutional Monarchy"
Europe;"Federal Republic"
Asia;"Federal Republic"
"North America";"Constitutional Monarchy"
Asia;"Monarchy (Emirate)"
Asia;Republic
"North America";"Constitutional Monarchy"
Europe;Republic
Europe;"Federation Constitutional Monarchy"
"North America";"Constitutional Monarchy"
Africa;Republic
"North America";"Dependent Territory of the UK"
Asia;Monarchy
"South America";Republic
Europe;"Federal Republic"
Africa;Republic
"South America";"Federal Republic"
Asia;"Monarchy (Sultanate)"
Europe;Republic
Africa;Republic
Africa;Republic
Asia;"Constitutional Monarchy"
Africa;Republic
"North America";"Constitutional Monarchy; Federation"
Africa;Republic
"North America";"Dependent Territory of the UK"
Africa;Republic
Africa;Republic
"South America";Republic
Asia;"People's Republic"
Oceania;"Territory of Australia"
Oceania;"Territory of Australia"
"South America";Republic
Africa;Republic
Africa;Republic
Oceania;"Nonmetropolitan Territory of New Zealand"
"North America";Republic
Europe;Republic
"North America";"Socialistic Republic"
Asia;Republic
Europe;Republic
Europe;"Constitutional Monarchy"
Africa;Republic
"North America";Republic
"North America";Republic
Asia;"Administrated by the UN"
"South America";Republic
Africa;Republic
"North America";Republic
Africa;Republic
Africa;Republic
Europe;Republic
Africa;Republic
"South America";"Dependent Territory of the UK"
Europe;"Part of Denmark"
Oceania;Republic
Europe;Republic
Europe;Republic
"South America";"Overseas Department of France"
Oceania;"Nonmetropolitan Territory of France"
Africa;Republic
Africa;Republic
Asia;Republic
Europe;"Federal Republic"
Africa;Republic
Europe;"Dependent Territory of the UK"
Europe;Republic
"North America";"Part of Denmark"
"North America";"Constitutional Monarchy"
"North America";"Overseas Department of France"
Oceania;"US Territory"
"North America";Republic
Africa;Republic
Africa;Republic
"South America";Republic
"North America";Republic
Europe;"Independent Church State"
"North America";Republic
Asia;"Special Administrative Region of China"
Europe;Republic
Europe;Republic
Asia;"Federal Republic"
Asia;Republic
Asia;"Islamic Republic"
Asia;Republic
Europe;Republic
Asia;Republic
Europe;Republic
Africa;Republic
"North America";"Constitutional Monarchy"
Asia;"Constitutional Monarchy"
Asia;"Constitutional Monarchy"
Asia;Republic
Africa;Republic
Oceania;Republic
Asia;"Constitutional Monarchy (Emirate)"
Asia;Republic
Asia;Republic
Europe;Republic
Asia;Republic
Africa;"Constitutional Monarchy"
Africa;Republic
Africa;"Socialistic State"
Europe;"Constitutional Monarchy"
Europe;Republic
Europe;"Constitutional Monarchy"
Asia;"Special Administrative Region of China"
Africa;"Federal Republic"
Africa;Republic
Asia;"Constitutional Monarchy"
Asia;Republic
Africa;Republic
Europe;Republic
Oceania;Republic
"North America";"Overseas Department of France"
Africa;Republic
Africa;Republic
Africa;"Territorial Collectivity of France"
"North America";"Federal Republic"
Oceania;"Federal Republic"
Europe;Republic
Europe;"Constitutional Monarchy"
Asia;Republic
"North America";"Dependent Territory of the UK"
Africa;"Constitutional Monarchy"
Africa;Republic
Asia;Republic
Africa;Republic
Oceania;Republic
Asia;"Federal parliamentary republic"
Europe;"Constitutional Monarchy"
"North America";"Nonmetropolitan Territory of The Netherlands"
Oceania;"Nonmetropolitan Territory of France"
Oceania;"Constitutional Monarchy"
"North America";Republic
Africa;Republic
Africa;"Federal Republic"
Oceania;"Nonmetropolitan Territory of New Zealand"
Oceania;"Territory of Australia"
Asia;"Socialistic Republic"
Oceania;"Commonwealth of the US"
Europe;"Constitutional Monarchy"
Asia;"Monarchy (Sultanate)"
Asia;Republic
Oceania;Republic
Asia;"Autonomous Area"
"North America";Republic
Oceania;"Constitutional Monarchy"
"South America";Republic
"South America";Republic
Asia;Republic
Oceania;"Dependent Territory of the UK"
Europe;Republic
Europe;Republic
"North America";"Commonwealth of the US"
Asia;Monarchy
Africa;"Overseas Department of France"
Europe;Republic
Europe;"Federal Republic"
Africa;Republic
Africa;"Dependent Territory of the UK"
"North America";"Constitutional Monarchy"
"North America";"Constitutional Monarchy"
"North America";"Territorial Collectivity of France"
"North America";"Constitutional Monarchy"
Oceania;"Parlementary Monarchy"
Europe;Republic
Africa;Republic
Asia;Monarchy
Africa;Republic
Africa;Republic
Africa;Republic
Asia;Republic
Europe;Republic
Europe;Republic
Oceania;"Constitutional Monarchy"
Africa;Republic
Africa;Republic
Asia;Republic
Europe;"Constitutional Monarchy"
Africa;"Islamic Republic"
"South America";Republic
Europe;"Dependent Territory of Norway"
Africa;Monarchy
Europe;"Constitutional Monarchy"
Europe;Federation
Asia;Republic
Asia;Republic
Africa;Republic
Asia;"Constitutional Monarchy"
Africa;Republic
Oceania;"Nonmetropolitan Territory of New Zealand"
Oceania;Monarchy
"North America";Republic
Africa;Republic
Asia;Republic
Asia;Republic
"North America";"Dependent Territory of the UK"
Oceania;"Constitutional Monarchy"
Africa;Republic
Europe;Republic
Asia;"Emirate Federation"
Europe;"Constitutional Monarchy"
"North America";"Federal Republic"
Oceania;"Dependent Territory of the US"
"South America";Republic
Asia;Republic
Oceania;Republic
"South America";"Federal Republic"
Asia;"Socialistic Republic"
"North America";
"North America";
Oceania;"Nonmetropolitan Territory of France"
Africa;"Occupied by Marocco"
Asia;Republic
Europe;"Federal Republic"
Africa;Republic
Africa;Republic
